"","id_plot","av_annual_pp","av_annual_mean_tp","av_annual_min_tp","av_annual_max_tp","int","t0","t1"
"46",7000404601,1240.5,4.855,-0.36,10.07,11,"M","M"
"47",7000404602,1234.5,4.915,-0.31,10.14,11,"D","D"
"48",7000404902,1277.5,4.095,-1.19,9.38,11,"M","M"
"49",7000405001,1216.5,5.025,-0.265,10.315,11,"M","M"
"50",7000405002,1216.5,5.02,-0.265,10.315,11,"D","D"
"51",7000405102,1200,5.205,-0.105,10.51,11,"M","M"
"52",7000405402,1261.5,4.565,-0.655,9.78,11,"D","D"
"53",7000405501,1218,4.9,-0.38,10.17,11,"C","M"
"54",7000405502,1225.5,4.83,-0.435,10.09,11,"M","M"
"55",7000405601,1205.5,5.015,-0.225,10.255,11,"D","D"
"56",7000405602,1199,5.08,-0.17,10.335,11,"C","M"
"57",7000405702,1200,2.375,-2.96,7.705,12,"D","D"
"58",7000405801,1223.5,4.82,-0.39,10.025,11,"D","D"
"59",7000405802,1240.5,4.66,-0.52,9.835,11,"D","D"
"60",7000405901,1273,3.505,-1.87,8.885,11,"C","C"
"61",7000406001,1307,3.4,-1.86,8.66,11,"C","C"
"62",7000406301,1188.5,5.1,-0.135,10.33,11,"D","D"
"63",7000406302,1210,4.895,-0.3,10.1,11,"T","M"
"64",7000406401,1285.5,3.69,-1.57,8.965,11,"M","M"
"65",7000406501,1253,4.405,-0.855,9.66,11,"M","M"
"66",7000406502,1253,4.405,-0.85,9.655,11,"M","M"
"67",7000406702,1292.5,3.4,-1.91,8.71,11,"M","M"
"68",7000406801,1230.5,4.48,-0.845,9.805,11,"C","C"
"69",7000407102,1170,4.105,-1.025,9.24,13,"C","C"
"70",7000407302,1149,4.02,-1.23,9.27,13,"D","M"
"71",7000407401,1140.5,4.205,-1.045,9.45,13,"C","C"
"73",7000407601,1204,4.43,-0.465,9.325,13,"D","D"
"74",7000407602,1203.5,4.435,-0.465,9.335,13,"C","C"
